record_date,month,weekday,holiday,temp_high,temp_low,weather,wind,power_consumption
2015/7/8,7,3,1,24,20,-1,1,3812753
2015/7/9,7,4,1,27,22,0,1,3959028
2015/8/1,8,6,0,35,27,0,0,3679973
2015/8/10,8,1,1,28,24,-1,1,4041268
2015/8/11,8,2,1,28,23,0,1,3903333
2015/8/12,8,3,1,31,23,0,0,4085366
2015/8/13,8,4,1,30,23,0,1,4168955
2015/8/14,8,5,1,32,23,0,0,4214550
2015/8/15,8,6,0,30,24,0,0,4047430
2015/8/16,8,7,0,30,23,1,0,3817657
2015/8/17,8,1,1,31,24,0,1,4155488
2015/8/18,8,2,1,30,23,0,1,4015123
2015/8/19,8,3,1,30,24,-1,1,3948699
2015/8/2,8,7,0,37,28,1,0,3513088
2015/8/20,8,4,1,26,23,-1,1,3869580
2015/8/21,8,5,1,29,23,0,0,3343687
2015/8/22,8,6,0,28,21,0,0,3858150
2015/8/23,8,7,0,28,21,0,1,3624080
2015/8/24,8,1,1,24,20,-1,1,3761623
2015/8/25,8,2,1,29,21,0,0,3909831
2015/8/26,8,3,1,30,22,0,0,4011378
2015/8/27,8,4,1,30,22,-1,0,4029224
2015/8/28,8,5,1,30,22,0,1,3487881
2015/8/29,8,6,0,31,22,0,1,3867982
2015/8/3,8,1,1,37,28,1,0,4109362
2015/8/30,8,7,0,31,22,0,0,3811394
2015/8/31,8,1,1,30,22,0,0,4109812
2015/8/4,8,2,1,37,28,1,1,4249464
2015/8/5,8,3,1,37,28,0,0,4287459
2015/8/6,8,4,1,35,26,0,1,4402083
2015/8/7,8,5,1,34,26,0,1,4369295
2015/8/8,8,6,0,33,26,-1,1,4161898
2015/8/9,8,7,0,30,25,-1,1,3787603
2015/9/1,9,2,1,29,22,-1,1,4066668
2015/9/10,9,4,1,28,20,1,0,3929441
2015/9/11,9,5,1,27,20,-1,0,3927760
2015/9/12,9,6,0,24,16,0,1,3633339
2015/9/13,9,7,0,25,17,0,0,3447496
2015/9/14,9,1,1,26,20,0,0,3713833
2015/9/15,9,2,1,26,18,0,1,3832844
2015/9/16,9,3,1,27,18,1,1,3749554
2015/9/17,9,4,1,26,18,0,0,3946919
2015/9/18,9,5,1,27,19,0,0,3975839
2015/9/19,9,6,0,28,20,0,1,3820881
2015/9/2,9,3,1,30,22,0,1,3925296
2015/9/20,9,7,0,26,19,1,1,3608073
2015/9/21,9,1,1,27,20,0,1,3957586
2015/9/22,9,2,1,26,21,-1,1,4039707
2015/9/23,9,3,1,26,19,0,0,4017043
2015/9/24,9,4,1,26,20,-1,1,4037352
2015/9/25,9,5,1,27,19,0,1,4040154
2015/9/26,9,6,0,28,18,1,1,3497499
2015/9/27,9,7,0,27,18,1,0,3356801
2015/9/28,9,1,1,27,20,-1,1,3873351
2015/9/29,9,2,1,25,21,-1,1,4000522
2015/9/3,9,4,0,29,22,0,0,3177414
2015/9/30,9,3,1,26,19,-1,1,4542677
2015/9/4,9,5,0,30,23,-1,0,3566662
2015/9/5,9,6,0,28,22,0,0,3757287
2015/9/6,9,7,1,28,21,0,0,3841049
2015/9/7,9,1,1,28,21,0,1,4018482
2015/9/8,9,2,1,28,20,0,1,3691852
2015/9/9,9,3,1,28,19,1,0,3918906
2016/1/1,1,5,0,11,2,0,0,3232705
2016/1/10,1,7,0,11,4,-1,0,3631998
2016/1/11,1,1,1,7,1,-1,0,4219307
2016/1/12,1,2,1,4,-1,0,0,4335493
2016/1/13,1,3,1,5,-1,0,0,3567044
2016/1/14,1,4,1,7,-1,0,0,4188494
2016/1/15,1,5,1,9,1,0,0,3459120
2016/1/16,1,6,0,10,2,-1,0,3825385
2016/1/17,1,7,0,10,0,-1,0,3356428
2016/1/18,1,1,1,4,-3,0,0,3964754
2016/1/19,1,2,1,3,-4,0,1,3967388
2016/1/2,1,6,0,15,7,0,1,3400311
2016/1/20,1,3,1,5,-1,-1,0,4014577
2016/1/21,1,4,1,4,0,-1,0,4179388
2016/1/22,1,5,1,7,-3,-1,0,3869181
2016/1/23,1,6,0,-4,-9,0,0,3857605
2016/1/24,1,7,0,-5,-9,0,0,3418767
2016/1/25,1,1,1,1,-7,0,0,3577731
2016/1/26,1,2,1,5,-3,0,0,3529451
2016/1/27,1,3,1,9,1,-1,0,3796580
2016/1/28,1,4,1,6,3,-1,0,3828398
2016/1/29,1,5,1,7,1,-1,0,3817281
2016/1/3,1,7,0,16,7,0,0,3641332
2016/1/30,1,6,0,7,0,-1,0,3585530
2016/1/31,1,7,0,3,-3,-1,1,3474602
2016/1/4,1,1,1,13,7,-1,1,4010378
2016/1/5,1,2,1,10,6,-1,0,4114238
2016/1/6,1,3,1,10,4,0,0,4228910
2016/1/7,1,4,1,8,-1,0,0,4271151
2016/1/8,1,5,1,7,0,0,0,4064567
2016/1/9,1,6,0,9,2,0,1,4063805
2016/2/1,2,1,1,1,-3,0,0,3577546
2016/2/10,2,3,0,20,7,0,0,2360456
2016/2/11,2,4,0,20,11,-1,0,2390654
2016/2/12,2,5,0,23,12,-1,0,2456605
2016/2/13,2,6,0,16,0,-1,0,2519542
2016/2/14,2,7,1,5,-3,0,0,2629206
2016/2/15,2,1,1,6,-2,0,0,2932628
2016/2/16,2,2,1,9,-1,0,0,3138577
2016/2/17,2,3,1,11,2,0,0,3211835
2016/2/18,2,4,1,15,3,0,0,3327845
2016/2/19,2,5,1,14,2,0,0,3534671
2016/2/2,2,2,1,5,-3,0,0,3400726
2016/2/20,2,6,0,11,-1,1,1,3457037
2016/2/21,2,7,0,12,2,-1,0,3353382
2016/2/22,2,1,1,8,2,-1,0,3740474
2016/2/23,2,2,1,11,0,0,0,3752948
2016/2/24,2,3,1,9,0,0,0,3817079
2016/2/25,2,4,1,12,2,0,0,3821269
2016/2/26,2,5,1,16,6,0,0,3778753
2016/2/27,2,6,0,19,7,0,0,3621678
2016/2/28,2,7,0,17,0,0,0,3427752
2016/2/29,2,1,1,10,-1,0,0,3830666
2016/2/3,2,3,1,6,-1,0,0,3164092
2016/2/4,2,4,1,8,-1,0,0,2985701
2016/2/5,2,5,1,9,-1,0,0,2769694
2016/2/6,2,6,1,6,-3,0,1,2651179
2016/2/7,2,7,0,9,-1,0,0,2400941
2016/2/8,2,1,0,15,2,1,1,2328935
2016/2/9,2,2,0,19,3,0,0,2367668
2016/3/1,3,2,1,12,3,1,0,3990461
2016/3/10,3,4,1,9,0,0,0,4034056
2016/3/11,3,5,1,11,2,0,0,4187860
2016/3/12,3,6,0,14,5,0,0,3971600
2016/3/13,3,7,0,16,4,0,0,3671423
2016/3/14,3,1,1,15,3,0,0,4040799
2016/3/15,3,2,1,15,6,0,0,4126436
2016/3/16,3,3,1,18,8,0,0,3999919
2016/3/17,3,4,1,17,11,-1,0,3960902
2016/3/18,3,5,1,20,11,-1,0,4028738
2016/3/19,3,6,0,19,7,0,0,3890087
2016/3/2,3,3,1,19,6,0,0,4052463
2016/3/20,3,7,0,19,5,0,0,3590345
2016/3/21,3,1,1,19,8,-1,0,3903985
2016/3/22,3,2,1,16,9,0,1,4615207
2016/3/23,3,3,1,13,4,0,1,4049102
2016/3/24,3,4,1,12,3,0,1,4080274
2016/3/25,3,5,1,15,2,0,0,4024048
2016/3/26,3,6,0,16,4,0,0,3911950
2016/3/27,3,7,0,18,7,0,0,3684076
2016/3/28,3,1,1,20,9,0,1,3969515
2016/3/29,3,2,1,21,13,0,1,4026603
2016/3/3,3,4,1,20,11,0,0,4077052
2016/3/30,3,3,1,22,12,-1,0,4007978
2016/3/31,3,4,1,19,10,-1,0,4019892
2016/3/4,3,5,1,20,13,-1,0,4047478
2016/3/5,3,6,0,23,8,0,0,3862328
2016/3/6,3,7,0,20,9,0,0,3680144
2016/3/7,3,1,1,23,7,-1,0,4082510
2016/3/8,3,2,1,8,3,-1,1,4128456
2016/3/9,3,3,1,8,2,0,0,4266444
2016/4/1,4,5,1,24,13,0,1,4003527
2016/4/10,4,7,0,25,10,0,0,3713744
2016/4/11,4,1,1,22,12,-1,0,3902557
2016/4/12,4,2,1,23,15,0,1,3994915
2016/4/13,4,3,1,27,16,0,0,4030816
2016/4/14,4,4,1,29,14,0,0,4053163
2016/4/15,4,5,1,27,17,-1,0,4044319
2016/4/16,4,6,0,21,10,-1,0,3962151
2016/4/17,4,7,0,21,10,-1,0,3720344
2016/4/18,4,1,1,22,10,1,0,3830146
2016/4/19,4,2,1,24,13,1,0,3853482
2016/4/2,4,6,0,20,13,-1,1,4017529
2016/4/20,4,3,1,18,15,-1,0,3601084
2016/4/21,4,4,1,26,15,0,0,3938636
2016/4/22,4,5,1,28,16,-1,0,3975591
2016/4/23,4,6,0,17,13,-1,0,4130359
2016/4/24,4,7,0,20,11,0,0,3779401
2016/4/25,4,1,1,22,13,0,0,3992619
2016/4/26,4,2,1,17,12,-1,0,4096040
2016/4/27,4,3,1,15,11,-1,1,3938562
2016/4/28,4,4,1,26,9,1,0,3950044
2016/4/29,4,5,1,27,13,1,0,3956025
2016/4/3,4,7,0,14,7,-1,0,3732506
2016/4/30,4,6,0,30,14,1,0,3675404
2016/4/4,4,1,0,19,9,0,0,3216632
2016/4/5,4,2,1,20,11,-1,0,3710743
2016/4/6,4,3,1,15,11,-1,0,4068945
2016/4/7,4,4,1,21,11,0,0,3995555
2016/4/8,4,5,1,24,12,0,0,4036804
2016/4/9,4,6,0,25,12,0,0,3995427
2016/5/1,5,7,0,31,19,0,0,3127033
2016/5/10,5,2,1,20,13,1,1,3977966
2016/5/11,5,3,1,28,14,1,0,4015503
2016/5/12,5,4,1,30,15,1,0,4132899
2016/5/13,5,5,1,25,12,-1,0,4108075
2016/5/14,5,6,0,29,18,-1,0,3989503
2016/5/15,5,7,0,18,13,-1,1,3756678
2016/5/16,5,1,1,25,9,1,0,3952351
2016/5/17,5,2,1,26,9,0,0,3949708
2016/5/18,5,3,1,27,13,0,0,3901864
2016/5/19,5,4,1,28,16,0,0,3913280
2016/5/2,5,1,0,26,15,-1,0,3471769
2016/5/20,5,5,1,26,17,-1,0,3963967
2016/5/21,5,6,0,19,17,-1,0,3890195
2016/5/22,5,7,0,22,17,-1,0,3640372
2016/5/23,5,1,1,26,17,-1,0,3969389
2016/5/24,5,2,1,27,17,0,0,4043578
2016/5/25,5,3,1,30,21,-1,0,4096819
2016/5/26,5,4,1,27,19,-1,0,4219737
2016/5/27,5,5,1,22,17,-1,0,4113139
2016/5/28,5,6,0,24,19,-1,0,4009038
2016/5/29,5,7,0,26,16,0,0,3789849
2016/5/3,5,2,1,25,12,1,0,3686262
2016/5/30,5,1,1,28,19,-1,0,3872713
2016/5/31,5,2,1,30,20,-1,0,4014739
2016/5/4,5,3,1,30,19,0,0,3904758
2016/5/5,5,4,1,28,19,-1,0,4076967
2016/5/6,5,5,1,31,14,0,0,4110685
2016/5/7,5,6,0,24,14,-1,0,4001702
2016/5/8,5,7,0,17,14,-1,1,3626796
2016/5/9,5,1,1,20,15,-1,0,4004587
2016/6/1,6,3,1,21,15,-1,0,3988022
2016/6/10,6,5,0,30,22,-1,1,3762722
2016/6/11,6,6,0,32,22,-1,1,3902134
2016/6/12,6,7,1,24,17,-1,1,3974914
2016/6/13,6,1,1,31,21,-1,1,4169418
2016/6/14,6,2,1,33,24,-1,1,4264932
2016/6/15,6,3,1,32,22,0,1,4334099
2016/6/16,6,4,1,30,20,1,1,4163197
2016/6/17,6,5,1,32,21,1,1,4301308
2016/6/18,6,6,0,33,25,-1,1,4234259
2016/6/19,6,7,0,33,24,-1,1,4047065
2016/6/2,6,4,1,25,18,-1,1,3968795
2016/6/20,6,1,1,32,24,-1,1,4155898
2016/6/21,6,2,1,31,26,-1,1,4371422
2016/6/22,6,3,1,32,26,-1,1,4418030
2016/6/23,6,4,1,32,26,-1,1,4536418
2016/6/24,6,5,1,25,20,-1,1,4447924
2016/6/25,6,6,0,27,18,-1,1,4087964
2016/6/26,6,7,0,30,20,-1,1,3885732
2016/6/27,6,1,1,22,19,-1,1,4128141
2016/6/28,6,2,1,25,20,-1,1,4207413
2016/6/29,6,3,1,30,23,-1,1,4747110
2016/6/3,6,5,1,22,18,-1,1,4041719
2016/6/30,6,4,1,33,25,-1,1,4905574
2016/6/4,6,6,0,23,16,-1,1,3874204
2016/6/5,6,7,0,28,17,1,1,3692647
2016/6/6,6,1,1,29,19,-1,1,4008633
2016/6/7,6,2,1,27,19,-1,1,4162818
2016/6/8,6,3,1,26,18,-1,1,4055291
2016/6/9,6,4,0,27,19,-1,1,3548896
2016/7/1,7,5,1,26,23,-1,1,4335777
2016/7/10,7,7,0,26,23,-1,1,4074906
2016/7/11,7,1,1,30,23,-1,1,4441372
2016/7/12,7,2,1,32,25,-1,1,4525375
2016/7/13,7,3,1,32,26,-1,1,4481143
2016/7/14,7,4,1,31,23,-1,1,4538956
2016/7/15,7,5,1,31,22,-1,1,4634383
2016/7/16,7,6,0,29,22,0,1,4220289
2016/7/17,7,7,0,31,24,1,1,4107215
2016/7/18,7,1,1,32,25,-1,1,4550893
2016/7/19,7,2,1,31,26,-1,1,4677268
2016/7/2,7,6,0,27,23,-1,1,4079363
2016/7/20,7,3,1,35,27,0,1,4772549
2016/7/21,7,4,1,36,27,-1,1,4750962
2016/7/22,7,5,1,34,27,-1,1,4754751
2016/7/23,7,6,0,37,27,1,1,4637393
2016/7/24,7,7,0,36,27,0,1,4311960
2016/7/25,7,1,1,36,27,1,1,4809396
2016/7/26,7,2,1,38,28,-1,1,4852473
2016/7/27,7,3,1,35,28,-1,1,4737322
2016/7/28,7,4,1,37,28,-1,1,4790575
2016/7/29,7,5,1,37,28,-1,1,4788141
2016/7/3,7,7,0,25,22,-1,1,3840101
2016/7/30,7,6,0,36,26,-1,1,4514944
2016/7/31,7,7,0,35,26,1,1,4259280
2016/7/4,7,1,1,27,23,-1,1,4071327
2016/7/5,7,2,1,26,23,-1,1,4161432
2016/7/6,7,3,1,29,24,-1,1,4104851
2016/7/7,7,4,1,31,23,-1,1,4498741
2016/7/8,7,5,1,31,23,-1,1,4554365
2016/7/9,7,6,0,30,24,-1,1,4333160
2016/8/1,8,1,1,34,26,0,1,4627029
2016/8/10,8,3,1,33,27,-1,1,3994246
2016/8/11,8,4,1,35,26,0,1,4061157
2016/8/12,8,5,1,35,27,-1,1,4127489
2016/8/13,8,6,0,36,27,0,1,4043540
2016/8/14,8,7,0,35,26,0,1,3744055
2016/8/15,8,1,1,35,26,0,1,4222039
2016/8/16,8,2,1,35,26,0,1,4603302
2016/8/17,8,3,1,35,26,0,1,4200728
2016/8/18,8,4,1,35,27,0,1,4454857
2016/8/19,8,5,1,37,28,1,1,4517220
2016/8/2,8,2,1,34,27,-1,1,4618467
2016/8/20,8,6,0,34,27,-1,1,4141047
2016/8/21,8,7,0,33,27,-1,1,3873626
2016/8/22,8,1,1,34,26,0,1,4285132
2016/8/23,8,2,1,34,24,0,1,4200526
2016/8/24,8,3,1,33,25,1,1,4151262
2016/8/25,8,4,1,34,25,0,1,4194893
2016/8/26,8,5,1,30,23,-1,1,4018774
2016/8/27,8,6,0,28,22,0,1,3610828
2016/8/28,8,7,0,30,19,1,1,3446470
2016/8/29,8,1,1,31,20,1,1,3681879
2016/8/3,8,3,1,30,26,-1,1,4490739
2016/8/30,8,2,1,30,21,1,1,3607667
2016/8/31,8,3,1,31,23,0,1,3664003
2016/8/4,8,4,1,31,25,-1,1,4367727
2016/8/5,8,5,1,33,26,-1,1,4253298
2016/8/6,8,6,0,32,26,-1,1,4023140
2016/8/7,8,7,0,34,26,-1,1,3663205
2016/8/8,8,1,1,33,26,-1,1,3689233
2016/8/9,8,2,1,34,27,-1,1,3679212
